Part Number,Manufacturer,Stock,Web active,Description,Process,Condition,Ebay Listing Link
0010-09052,Applied Materials ,3,ebay,"Tray, Assy. 150 MM",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-09052-Tray-Assy-150-MM-AMAT-P-5000/232992412240?hash=item363f6e1250:g:NsIAAOSwenJb3kBf
0010-09053,Applied Materials ,3,ebay,"Tray, Assy.  200 MM",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-09053-Tray-Assy-200-MM-AMAT-P-5000/332352342070?hash=item4d61be4836:g:LiAAAOSwrzdZmxBt:rk:1:pf:0
0010-09092,Applied Materials,1,ebay,"Ozonator, Assy.",5000,New,https://www.ebay.com/itm/Applied-Materials-0010-09092-Ozonator-Assy-CVD-AMAT/232026902440?hash=item3605e18fa8:g:frcAAOSwzaJX6xcJ
0010-09092,Applied Materials,1,ebay,"Ozonator, Assy.",5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-09092-Ozonator-Assy-W-Griffin-Ozone-Monitor-EG-2001/331984099552?hash=item4d4bcb58e0:g:krAAAOSwNRdX6xq7
0010-09174,Applied Materials ,1,ebay ,"Throttle Valve, Assy. 200 MM",CVD,Used,
0010-09174,Applied Materials ,1,ebay ,"Throttle Valve, Assy. 200 MM",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09174-Throttle-Valve-Assy-200-MM-CVD/332069538074?hash=item4d50e3091a:g:BtcAAOSwNE5YWzdY
0010-09174,Applied Materials ,1,ebay,"Throttle Valve, Assy. 200 MM",CVD,New,https://www.ebay.com/itm/Applied-Materials-0010-09174-Throttle-Valve-Assy-200-MM-CVD-AMAT/332566773370?hash=item4d6e863e7a:g:16MAAOSwXJ9akfa3
0010-09181,Applied Materials ,1,ebay,DC Power Supply,5000,Used,https://www.ebay.com/itm/Applied-Materials-0010-09181-DC-Power-Supply-AMAT-Precision-5000/332107864155?epid=1210300234&hash=item4d532bd85b:g:DzcAAOSwt5hYjo7V
0010-09340,Applied Materials ,1,ebay,"Susceptor Lift, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09340-Susceptor-Lift-Assy-AMAT-CVD/332990844816?hash=item4d87cd0f90:g:i1sAAOSwBqZcK-8C
0010-09340W,Applied Materials ,1,ebay,"Susceptor Lift, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09340W-Susceptor-Lift-Assy-AMAT-CVD/332990620112?hash=item4d87c9a1d0:g:GHAAAOSwcZ1cK8vb
0010-09341,Applied Materials,1,ebay,"Wafer Lift, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09341-Wafer-Lift-Assy-AMAT-CVD/332794826360?hash=item4d7c1e0e78:g:nXkAAOSwn6RbkGOY
0010-09341,Applied Materials ,1,ebay,"Wafer Lift, Assy.",CVD,Used,https://www.ebay.com/itm/Applied-Materials-0010-09341-Wafer-Lift-Assy-AMAT-CVD/332794810177?hash=item4d7c1dcf41:g:IIcAAOSwwFJbkFwx
